Name,Scientific_Name,Height,Breadth,City,Description,Pros,Cons,Leaf Color,Lifespan,Type
Sal Tree,Shorea robusta,23.3,23.1,Delhi,Dominant forest tree in Central India,Strong wood,Slow regeneration,Dark Green,257,Deciduous
Banyan Tree,Ficus benghalensis,26.9,23.6,Ranchi,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,100,Evergreen
Tecoma,Tecoma stans,23.4,5.6,Mumbai,Shrub-like ornamental tree,Bright yellow flowers,Needs pruning,Light Green,184,Deciduous
Karanj Tree,Pongamia pinnata,19.5,20.2,Surat,Used for biodiesel and shade,Oil-producing,Messy pods,Green,43,Deciduous
Kadamba,Neolamarckia cadamba,16.2,17.1,Ahmedabad,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,64,Evergreen
Bamboo,Bambusoideae,23.9,3.7,Lucknow,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,68,Evergreen
Gulmohar,Delonix regia,33.2,18,Hyderabad,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,272,Deciduous
Tamarind Tree,Tamarindus indica,29.4,9.7,Lucknow,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,284,Deciduous
Arjun Tree,Terminalia arjuna,38.3,22.6,Ahmedabad,Used in traditional medicine,Medicinal bark,Needs moisture,Green,282,Deciduous
Tecoma,Tecoma stans,25.3,18.6,Chennai,Shrub-like ornamental tree,Bright yellow flowers,Needs pruning,Light Green,88,Deciduous
Teakwood,Tectona grandis,6.7,11,Bhopal,High-value timber tree,Durable wood,Expensive,Green,271,Deciduous
Karanj Tree,Pongamia pinnata,37,24.1,Chennai,Used for biodiesel and shade,Oil-producing,Messy pods,Green,113,Deciduous
Palm Tree,Arecaceae,13.9,24,Indore,Tropical ornamental tree,Aesthetic value,Low shade,Green,273,Evergreen
Mango Tree,Mangifera indica,30,22.5,Delhi,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,253,Evergreen
Peach Tree,Prunus persica,9.5,19.9,Bengaluru,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,43,Deciduous
Tamarind Tree,Tamarindus indica,39.8,14.9,Goa,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,184,Deciduous
Papaya Tree,Carica papaya,28.9,19.5,Patna,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,178,Evergreen
Peepal Tree,Ficus religiosa,14.4,23.7,Patna,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,195,Deciduous
Teak Tree,Tectona grandis,27.8,9.1,Goa,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,140,Deciduous
Gulmohar,Delonix regia,23.4,11.9,Nagpur,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,134,Deciduous
Neem Tree,Azadirachta indica,8.4,10.5,Surat,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,297,Evergreen
Jamun Tree,Syzygium cumini,22.6,18,Mumbai,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,98,Evergreen
Kadamba,Neolamarckia cadamba,20.2,9.3,Indore,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,221,Evergreen
Eucalyptus,Eucalyptus globulus,29.4,9.2,Bhopal,"Aromatic leaves, tall tree","Fast-growing, pest resistant",Depletes groundwater,Grey-Green,202,Evergreen
Bael Tree,Aegle marmelos,31.1,17.3,Indore,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,248,Deciduous
Teak Tree,Tectona grandis,16.8,12.6,Kochi,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,198,Deciduous
Eucalyptus,Eucalyptus globulus,28.5,8.2,Surat,"Aromatic leaves, tall tree","Fast-growing, pest resistant",Depletes groundwater,Grey-Green,50,Evergreen
Ashoka Tree,Saraca asoca,29.6,22.9,Jaipur,Ornamental and sacred tree,"Attractive flowers, medicinal use",Requires moist soil,Dark Green,266,Evergreen
Bael Tree,Aegle marmelos,6.1,24.9,Kolkata,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,184,Deciduous
Tamarind Tree,Tamarindus indica,28.4,8.5,Hyderabad,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,62,Deciduous
Coconut Tree,Cocos nucifera,8,7,Lucknow,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,222,Evergreen
Tecoma,Tecoma stans,21.5,9,Kolkata,Shrub-like ornamental tree,Bright yellow flowers,Needs pruning,Light Green,261,Deciduous
Arjun Tree,Terminalia arjuna,20.7,7.8,Bengaluru,Used in traditional medicine,Medicinal bark,Needs moisture,Green,252,Deciduous
Bael Tree,Aegle marmelos,33.9,6.7,Delhi,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,244,Deciduous
Arjun Tree,Terminalia arjuna,17.9,16.8,Goa,Used in traditional medicine,Medicinal bark,Needs moisture,Green,210,Deciduous
Gulmohar,Delonix regia,27.3,22.7,Kolkata,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,201,Deciduous
Coconut Tree,Cocos nucifera,7.5,16.4,Indore,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,126,Evergreen
Banyan Tree,Ficus benghalensis,8.8,5.2,Surat,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,162,Evergreen
Mahogany,Swietenia macrophylla,14.7,19.7,Bhopal,Valuable timber tree,High-quality wood,Slow growing,Green,161,Deciduous
Peepal Tree,Ficus religiosa,23.1,14.4,Bengaluru,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,158,Deciduous
Papaya Tree,Carica papaya,33.5,5.7,Pune,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,229,Evergreen
Jackfruit Tree,Artocarpus heterophyllus,19.4,18.8,Jaipur,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,133,Evergreen
Teak Tree,Tectona grandis,14.1,23.1,Delhi,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,126,Deciduous
Bamboo,Bambusoideae,27.2,8.8,Ranchi,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,190,Evergreen
Jamun Tree,Syzygium cumini,10.7,24.8,Bhopal,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,48,Evergreen
Palm Tree,Arecaceae,19.8,12.7,Mumbai,Tropical ornamental tree,Aesthetic value,Low shade,Green,42,Evergreen
Banyan Tree,Ficus benghalensis,30.2,4.6,Indore,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,175,Evergreen
Ashoka Tree,Saraca asoca,39,13.5,Chennai,Ornamental and sacred tree,"Attractive flowers, medicinal use",Requires moist soil,Dark Green,149,Evergreen
Jamun Tree,Syzygium cumini,36,22.2,Lucknow,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,41,Evergreen
Mahogany,Swietenia macrophylla,33,21.1,Indore,Valuable timber tree,High-quality wood,Slow growing,Green,287,Deciduous
Amaltas,Cassia fistula,31.2,7.6,Kochi,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,221,Deciduous
Ashoka Tree,Saraca asoca,30,22.4,Mumbai,Ornamental and sacred tree,"Attractive flowers, medicinal use",Requires moist soil,Dark Green,196,Evergreen
Peepal Tree,Ficus religiosa,23.6,24.3,Delhi,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,273,Deciduous
Sal Tree,Shorea robusta,31.8,22.1,Goa,Dominant forest tree in Central India,Strong wood,Slow regeneration,Dark Green,119,Deciduous
Bael Tree,Aegle marmelos,10.8,17.3,Bengaluru,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,42,Deciduous
Peepal Tree,Ficus religiosa,20.5,15.3,Bhopal,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,46,Deciduous
Palm Tree,Arecaceae,10,3.1,Guwahati,Tropical ornamental tree,Aesthetic value,Low shade,Green,219,Evergreen
Tecoma,Tecoma stans,23.6,7.6,Nagpur,Shrub-like ornamental tree,Bright yellow flowers,Needs pruning,Light Green,58,Deciduous
Gulmohar,Delonix regia,23.3,20.4,Jaipur,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,292,Deciduous
Kadamba,Neolamarckia cadamba,17.2,11.8,Chennai,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,281,Evergreen
Tamarind Tree,Tamarindus indica,20,14.2,Patna,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,271,Deciduous
Jackfruit Tree,Artocarpus heterophyllus,19,5.5,Patna,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,67,Evergreen
Neem Tree,Azadirachta indica,30.9,14.5,Jaipur,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,64,Evergreen
Mango Tree,Mangifera indica,21.2,11,Mumbai,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,65,Evergreen
Amaltas,Cassia fistula,22.6,24.7,Nagpur,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,272,Deciduous
Tamarind Tree,Tamarindus indica,31.3,13.2,Coimbatore,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,46,Deciduous
Teakwood,Tectona grandis,20.2,24.8,Mumbai,High-value timber tree,Durable wood,Expensive,Green,166,Deciduous
Kadamba,Neolamarckia cadamba,36.9,21.8,Guwahati,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,149,Evergreen
Jamun Tree,Syzygium cumini,31.5,4.6,Goa,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,234,Evergreen
Mango Tree,Mangifera indica,12.6,11.1,Ahmedabad,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,123,Evergreen
Teak Tree,Tectona grandis,13.6,20.9,Indore,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,297,Deciduous
Banyan Tree,Ficus benghalensis,15.2,7.6,Hyderabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,83,Evergreen
Palm Tree,Arecaceae,36.3,15.7,Delhi,Tropical ornamental tree,Aesthetic value,Low shade,Green,70,Evergreen
Bamboo,Bambusoideae,38.6,9.5,Lucknow,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,193,Evergreen
Jamun Tree,Syzygium cumini,28.8,4.5,Surat,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,293,Evergreen
Bamboo,Bambusoideae,25.4,20.3,Patna,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,224,Evergreen
Neem Tree,Azadirachta indica,29.3,21.4,Guwahati,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,277,Evergreen
Bamboo,Bambusoideae,31.9,23.8,Delhi,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,158,Evergreen
Mango Tree,Mangifera indica,31.7,18.3,Indore,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,162,Evergreen
Peepal Tree,Ficus religiosa,17.6,21.7,Bengaluru,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,110,Deciduous
Neem Tree,Azadirachta indica,10.3,3,Chennai,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,155,Evergreen
Jamun Tree,Syzygium cumini,17.7,22.7,Kolkata,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,143,Evergreen
Tamarind Tree,Tamarindus indica,24.9,11,Kochi,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,268,Deciduous
Jamun Tree,Syzygium cumini,28.1,18.9,Lucknow,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,87,Evergreen
Peach Tree,Prunus persica,8,19.6,Mumbai,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,165,Deciduous
Banyan Tree,Ficus benghalensis,35.1,18,Ahmedabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,242,Evergreen
Teak Tree,Tectona grandis,39.8,22.6,Ranchi,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,247,Deciduous
Jamun Tree,Syzygium cumini,32.2,4,Coimbatore,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,91,Evergreen
Gulmohar,Delonix regia,20.4,24.3,Lucknow,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,117,Deciduous
Amaltas,Cassia fistula,7.3,12.6,Nagpur,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,47,Deciduous
Tamarind Tree,Tamarindus indica,18.1,8,Guwahati,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,54,Deciduous
Banyan Tree,Ficus benghalensis,36.8,16.1,Delhi,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,75,Evergreen
Mahogany,Swietenia macrophylla,34.2,15.2,Lucknow,Valuable timber tree,High-quality wood,Slow growing,Green,50,Deciduous
Neem Tree,Azadirachta indica,31.7,19.3,Coimbatore,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,255,Evergreen
Karanj Tree,Pongamia pinnata,25.3,12.8,Nagpur,Used for biodiesel and shade,Oil-producing,Messy pods,Green,299,Deciduous
Arjun Tree,Terminalia arjuna,34.6,23.6,Surat,Used in traditional medicine,Medicinal bark,Needs moisture,Green,99,Deciduous
Arjun Tree,Terminalia arjuna,7.1,16.4,Goa,Used in traditional medicine,Medicinal bark,Needs moisture,Green,134,Deciduous
Banyan Tree,Ficus benghalensis,12.7,21.7,Mumbai,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,183,Evergreen
Bael Tree,Aegle marmelos,35.5,21.6,Patna,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,77,Deciduous
Papaya Tree,Carica papaya,37.3,23.5,Indore,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,79,Evergreen
Karanj Tree,Pongamia pinnata,33.3,11.8,Surat,Used for biodiesel and shade,Oil-producing,Messy pods,Green,92,Deciduous
Tamarind Tree,Tamarindus indica,21.5,15.1,Mumbai,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,241,Deciduous
Karanj Tree,Pongamia pinnata,16.4,20.6,Jaipur,Used for biodiesel and shade,Oil-producing,Messy pods,Green,187,Deciduous
Peepal Tree,Ficus religiosa,12.8,8.3,Hyderabad,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,150,Deciduous
Coconut Tree,Cocos nucifera,12.5,16.4,Ahmedabad,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,291,Evergreen
Banyan Tree,Ficus benghalensis,32.8,18.3,Hyderabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,183,Evergreen
Banyan Tree,Ficus benghalensis,8.5,19.4,Bhopal,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,135,Evergreen
Arjun Tree,Terminalia arjuna,21,3.9,Kolkata,Used in traditional medicine,Medicinal bark,Needs moisture,Green,172,Deciduous
Kadamba,Neolamarckia cadamba,28.7,24,Chennai,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,174,Evergreen
Mango Tree,Mangifera indica,7.5,23,Delhi,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,118,Evergreen
Bael Tree,Aegle marmelos,30.6,4.6,Coimbatore,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,274,Deciduous
Peepal Tree,Ficus religiosa,22.7,24.5,Ahmedabad,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,188,Deciduous
Coconut Tree,Cocos nucifera,35.4,22.8,Mumbai,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,185,Evergreen
Mahogany,Swietenia macrophylla,22.2,12.4,Mumbai,Valuable timber tree,High-quality wood,Slow growing,Green,247,Deciduous
Banyan Tree,Ficus benghalensis,22.7,20.4,Ahmedabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,184,Evergreen
Jamun Tree,Syzygium cumini,16.3,15.8,Indore,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,88,Evergreen
Jamun Tree,Syzygium cumini,21.2,19.6,Ranchi,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,142,Evergreen
Banyan Tree,Ficus benghalensis,30.7,11.8,Chennai,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,237,Evergreen
Jamun Tree,Syzygium cumini,32.2,5.5,Bhopal,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,144,Evergreen
Peepal Tree,Ficus religiosa,35.9,6.7,Chennai,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,47,Deciduous
Mahogany,Swietenia macrophylla,20.2,15.5,Kolkata,Valuable timber tree,High-quality wood,Slow growing,Green,99,Deciduous
Peach Tree,Prunus persica,22.7,24.8,Coimbatore,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,148,Deciduous
Bamboo,Bambusoideae,16,11.4,Jaipur,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,264,Evergreen
Tamarind Tree,Tamarindus indica,6.7,13.6,Bengaluru,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,254,Deciduous
Mango Tree,Mangifera indica,14,7,Goa,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,115,Evergreen
Jackfruit Tree,Artocarpus heterophyllus,32.4,25,Bengaluru,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,248,Evergreen
Mahogany,Swietenia macrophylla,5.5,13.5,Ahmedabad,Valuable timber tree,High-quality wood,Slow growing,Green,62,Deciduous
Papaya Tree,Carica papaya,5.9,8.8,Kolkata,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,110,Evergreen
Bamboo,Bambusoideae,17.5,19.8,Kolkata,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,66,Evergreen
Bael Tree,Aegle marmelos,37.9,5.4,Lucknow,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,76,Deciduous
Kadamba,Neolamarckia cadamba,13.4,16.4,Surat,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,67,Evergreen
Banyan Tree,Ficus benghalensis,10,8.5,Chennai,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,292,Evergreen
Peepal Tree,Ficus religiosa,17.7,6.2,Pune,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,89,Deciduous
Mahogany,Swietenia macrophylla,25.3,8.1,Delhi,Valuable timber tree,High-quality wood,Slow growing,Green,95,Deciduous
Eucalyptus,Eucalyptus globulus,16.6,24.5,Delhi,"Aromatic leaves, tall tree","Fast-growing, pest resistant",Depletes groundwater,Grey-Green,300,Evergreen
